783,191671
783.5,190707
784,189721
784.5,188868
785,188207
785.5,187782
786,187284
786.5,186916
787,186682
787.5,186464
788,186270
788.5,186041
789,185842
789.5,185745
790,185387
790.5,185152
791,185046
791.5,184644
792,184579
792.5,184435
793,184414
793.5,184262
794,184107
794.5,184099
795,184031
795.5,183974
796,183918
796.5,183755
797,183759
797.5,183754
798,183731
798.5,183698
799,183770
799.5,183761
800,183820
800.5,183807
801,183852
801.5,184030
802,184175
802.5,184224
803,184322
803.5,184527
804,184616
804.5,184865
805,184867
805.5,185185
806,185300
806.5,185534
807,185653
807.5,185870
808,186038
808.5,186260
809,186625
809.5,186722
810,186879
810.5,187210
811,187386
811.5,187664
812,187808
812.5,188060
813,188211
813.5,188455
814,188723
814.5,188860
815,189189
815.5,189312
816,189628
816.5,189748
817,189892
817.5,190040
818,190264
818.5,190380
819,190752
819.5,190827
820,191203
820.5,191266
821,191479
821.5,191825
822,191988
822.5,192149
823,192436
823.5,192742
824,193060
824.5,193285
825,193664
825.5,193905
826,194168
826.5,194477
827,194890
827.5,195148
828,195795
828.5,195968
829,196464
829.5,196807
830,197330
830.5,198030
831,198597
831.5,198912
832,199607
832.5,200451
833,201202
833.5,201970
834,202714
834.5,203632
835,204438
835.5,205308
836,206238
836.5,207195
837,208250
837.5,209646
838,210792
838.5,212432
839,214446
839.5,216769
840,219316
840.5,221841
841,224085
841.5,225968
842,227564
842.5,228134
843,228069
843.5,227223
844,225535
844.5,223390
845,220558
845.5,216957
846,213217
846.5,209150
847,205277
847.5,201644
848,197931
848.5,194711
849,192028
849.5,189479
850,187410
850.5,185651
851,184158
851.5,183119
852,182316
852.5,181624
853,181229
853.5,180790
854,180741
854.5,180422
855,180379
855.5,180283
856,180344
856.5,180393
857,180450
857.5,180498
858,180539
858.5,180541
859,180545
859.5,180557
860,180349
860.5,180205
861,179941
861.5,179600
862,179312
862.5,178865
863,178257
863.5,178126
864,177406
864.5,176981
865,176534
865.5,176084
866,175849
866.5,175476
867,175360
867.5,175085
868,174986
868.5,174629
869,174764
869.5,174573
870,174532
870.5,174494
871,174555
871.5,174515
872,174535
872.5,174679
873,174549
873.5,174568
874,174728
874.5,174696
875,174789
875.5,174876
876,174830
876.5,174885
877,174967
877.5,175055
878,175027
878.5,175179
879,175309
879.5,175271
880,175386
880.5,175492
881,175470
881.5,175613
882,175572
882.5,175776
883,175758
883.5,175830
884,175899
884.5,175924
885,176095
885.5,176070
886,176170
886.5,176190
887,176245
887.5,176410
888,176468
888.5,176600
889,176458
889.5,176646
890,176607
890.5,176709
891,176828
891.5,176761
892,176862
892.5,176821
893,176943
893.5,177206
